GROUP,PACKAGE,CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Tota_Branch,LINE_MISSED,LINE_COVERED,Total_lines,Line Coveage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.Node,2,18,20,90.00%,1,14,15,93%,2,13,15
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.Values,0,0,0,0.00%,0,8,8,100%,0,5,5
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceBaseIterator,2,22,24,91.67%,1,48,49,98%,2,17,19
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceValues,0,2,2,100.00%,0,8,8,100%,0,4,4
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.EntrySet,1,5,6,83.33%,1,17,18,94%,1,7,8
Apache Commons Collections,org.apache.commons.collections4.map,TransformedSortedMap,1,1,2,50.00%,0,19,19,100%,1,10,11
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceStrength,3,1,4,25.00%,3,7,10,70%,3,3,6
Apache Commons Collections,org.apache.commons.collections4.map,FixedSizeMap,4,2,6,33.33%,8,20,28,71%,5,11,16
Apache Commons Collections,org.apache.commons.collections4.map,AbstractOrderedMapDecorator,0,0,0,0.00%,1,9,10,90%,1,7,8
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.KeySetView.new AbstractUntypedIteratorDecorator() {...},0,0,0,0.00%,0,2,2,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,PredicatedSortedMap,0,0,0,0.00%,0,13,13,100%,0,9,9
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.SoftRef,0,0,0,0.00%,4,0,4,0%,2,0,2
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ValuesView.new AbstractUntypedIteratorDecorator() {...},0,0,0,0.00%,0,2,2,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,PredicatedMap,0,16,16,100.00%,0,32,32,100%,0,17,17
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.KeyIterator,0,0,0,0.00%,0,2,2,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.KeySetIterator,0,0,0,0.00%,0,3,3,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.FlatMapEntry,26,16,42,38.10%,19,32,51,63%,20,12,32
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.Values,1,3,4,75.00%,1,11,12,92%,1,6,7
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.WeakRef,0,0,0,0.00%,0,4,4,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceKeySetIterator,0,0,0,0.00%,0,3,3,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.KeySetView,0,0,0,0.00%,0,8,8,100%,0,5,5
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap,10,38,48,79.17%,6,104,110,95%,10,43,53
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableMap,2,2,4,50.00%,5,22,27,81%,2,12,14
Apache Commons Collections,org.apache.commons.collections4.map,CompositeMap,3,47,50,94.00%,5,86,91,95%,4,43,47
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.ValuesIterator,0,0,0,0.00%,1,3,4,75%,1,2,3
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap,12,124,136,91.18%,16,268,284,94%,16,104,120
Apache Commons Collections,org.apache.commons.collections4.map,TransformedMap,2,10,12,83.33%,0,38,38,100%,2,16,18
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.LinkEntry,0,0,0,0.00%,0,2,2,100%,0,1,1
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.ValueIterator,0,0,0,0.00%,0,2,2,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.1.1.new Map.Entry() {...},0,0,0,0.00%,1,3,4,75%,1,3,4
Apache Commons Collections,org.apache.commons.collections4.map,PassiveExpiringMap.ConstantTimeToLiveExpirationPolicy,1,3,4,75.00%,3,10,13,77%,2,4,6
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator,0,2,2,100.00%,1,7,8,88%,1,4,5
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.LinkIterator,4,14,18,77.78%,4,33,37,89%,4,14,18
Apache Commons Collections,org.apache.commons.collections4.map,LazySortedMap,0,0,0,0.00%,0,16,16,100%,0,11,11
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.BaseIterator,0,12,12,100.00%,0,24,24,100%,0,10,10
Apache Commons Collections,org.apache.commons.collections4.map,LinkedMap.LinkedMapList,0,0,0,0.00%,1,19,20,95%,1,17,18
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.1.new Transformer() {...},0,0,0,0.00%,0,2,2,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.FlatMapIterator,11,15,26,57.69%,19,30,49,61%,12,13,25
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.KeySet,2,6,8,75.00%,0,15,15,100%,2,8,10
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ListOrderedMapIterator,0,10,10,100.00%,4,32,36,89%,1,15,16
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.ValuesIterator,0,0,0,0.00%,0,3,3,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableEntrySet.UnmodifiableEntrySetIterator,0,0,0,0.00%,0,5,5,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.new LazyIteratorChain() {...},0,2,2,100.00%,0,6,6,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.ValuesIterator,0,2,2,100.00%,0,11,11,100%,0,5,5
Apache Commons Collections,org.apache.commons.collections4.map,SingletonMap.SingletonValues,0,0,0,0.00%,1,7,8,88%,1,5,6
Apache Commons Collections,org.apache.commons.collections4.map,EntrySetToMapIteratorAdapter,0,2,2,100.00%,0,18,18,100%,0,10,10
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntry,16,26,42,61.90%,5,37,42,88%,14,16,30
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.KeySet,0,4,4,100.00%,0,15,15,100%,0,8,8
Apache Commons Collections,org.apache.commons.collections4.map,PassiveExpiringMap,0,18,18,100.00%,8,67,75,89%,4,33,37
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator.EntrySet,1,9,10,90.00%,0,21,21,100%,1,8,9
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ListOrderedMapEntry,0,0,0,0.00%,0,5,5,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceMapIterator,0,6,6,100.00%,0,15,15,100%,0,8,8
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.EntryIterator,0,0,0,0.00%,0,2,2,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,HashedMap,0,0,0,0.00%,0,15,15,100%,0,7,7
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.EntrySet,0,10,10,100.00%,0,24,24,100%,0,11,11
Apache Commons Collections,org.apache.commons.collections4.map,LRUMap,11,27,38,71.05%,14,80,94,85%,13,27,40
Apache Commons Collections,org.apache.commons.collections4.map,MultiKeyMap,111,189,300,63.00%,7,304,311,98%,83,106,189
