CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_covergae,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
SimplexOptimizer,3,19,,,1,36,,,3,14,
NelderMeadSimplex,1,31,,,3,82,,,2,23,
CMAESOptimizer.DoubleIndex,6,0,,,7,5,,,5,2,
BOBYQAOptimizer.PathIsExploredException,0,0,,,2,0,,,1,0,
MultiDirectionalSimplex,0,8,,,2,42,,,1,13,
CMAESOptimizer.ValuePenaltyPair,0,0,,,0,4,,,0,1,
PowellOptimizer,4,32,,,3,89,,,4,22,
CMAESOptimizer.PopulationSize,1,1,,,1,5,,,1,2,
BOBYQAOptimizer,105,519,,,157,1027,,,90,243,
AbstractSimplex,13,41,,,14,75,,,14,27,
CMAESOptimizer.FitnessFunction,8,14,,,10,26,,,6,10,
CMAESOptimizer.Sigma,0,4,,,0,7,,,0,4,
SimplexOptimizer.new MultivariateFunction() {...},0,0,,,0,2,,,0,2,
SimplexOptimizer.new Comparator() {...},0,2,,,0,4,,,0,3,
CMAESOptimizer,36,182,,,36,377,,,32,117,
AbstractLeastSquaresOptimizer,2,20,,,15,71,,,7,26,
NonLinearConjugateGradientOptimizer.LineSearchFunction,0,4,,,0,11,,,0,4,
LevenbergMarquardtOptimizer,21,181,,,15,360,,,18,93,
NonLinearConjugateGradientOptimizer,7,27,,,8,65,,,8,16,
AbstractDifferentiableOptimizer,0,0,,,6,0,,,4,0,
NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,0,,,0,2,,,0,2,
AbstractScalarDifferentiableOptimizer,0,0,,,1,7,,,1,4,
ConjugateGradientFormula,0,0,,,0,3,,,0,1,
GaussNewtonOptimizer,3,19,,,6,56,,,5,11,
EnclosingBall,0,4,,,0,11,,,0,9,
WelzlEncloser,1,19,,,1,45,,,1,14,
MaxIter,1,1,,,2,5,,,2,2,
BaseMultivariateOptimizer,2,28,,,1,36,,,2,20,
BaseOptimizer,0,6,,,4,27,,,2,13,
BaseOptimizer.MaxIterCallback,0,0,,,0,1,,,0,1,
AbstractOptimizationProblem.MaxEvalCallback,0,0,,,0,1,,,0,1,
BaseOptimizer.MaxEvalCallback,0,0,,,0,1,,,0,1,
PointVectorValuePair,3,9,,,0,13,,,3,10,
SimpleVectorValueChecker,0,12,,,0,21,,,0,9,
MaxEval,1,1,,,2,5,,,2,2,
PointValuePair,2,4,,,0,10,,,2,6,
AbstractOptimizationProblem.MaxIterCallback,0,0,,,0,1,,,0,1,
SimpleValueChecker,1,9,,,0,16,,,1,7,
PointValuePair.DataTransferObject,0,0,,,0,5,,,0,2,
AbstractConvergenceChecker,0,0,,,0,6,,,0,3,
PointVectorValuePair.DataTransferObject,0,0,,,0,5,,,0,2,
AbstractOptimizationProblem,0,0,,,0,10,,,0,5,
SimplePointChecker,2,10,,,0,21,,,2,7,
InitialGuess,0,0,,,0,4,,,0,2,
SimpleBounds,0,0,,,0,11,,,0,4,
BaseMultiStartMultivariateOptimizer,4,30,,,3,51,,,4,17,
BaseSecantSolver,3,45,,,3,65,,,3,33,
AbstractDifferentiableUnivariateSolver,0,0,,,2,7,,,1,3,
BrentSolver,1,39,,,2,83,,,2,24,
NewtonRaphsonSolver,0,2,,,0,14,,,0,5,
LaguerreSolver.ComplexSolver,9,21,,,7,59,,,8,11,
SecantSolver,1,9,,,5,26,,,3,6,
MullerSolver2,5,15,,,6,49,,,6,8,
RiddersSolver,4,12,,,6,46,,,5,7,
AbstractUnivariateDifferentiableSolver,0,0,,,2,7,,,1,3,
BracketingNthOrderBrentSolver,1,65,,,1,131,,,1,43,
AbstractUnivariateSolver,0,0,,,0,6,,,0,3,
IllinoisSolver,0,0,,,6,2,,,3,1,
AbstractPolynomialSolver,0,0,,,4,6,,,2,3,
UnivariateSolverUtils,21,47,,,28,72,,,15,31,
BisectionSolver,0,4,,,2,17,,,1,5,
BaseAbstractUnivariateSolver,0,0,,,1,44,,,1,21,
LaguerreSolver,8,8,,,16,28,,,9,7,
BaseSecantSolver.Method,0,0,,,0,4,,,0,1,
AllowedSolution,0,0,,,0,6,,,0,1,
NewtonSolver,0,2,,,0,12,,,0,5,
PegasusSolver,0,0,,,2,6,,,1,3,
MullerSolver,5,31,,,5,59,,,6,17,
RegulaFalsiSolver,0,0,,,6,2,,,3,1,
Weight,2,0,,,6,4,,,2,2,
MultivariateVectorOptimizer,0,10,,,0,25,,,0,13,
Target,0,0,,,0,4,,,0,2,
JacobianMultivariateVectorOptimizer,0,4,,,0,10,,,0,6,
ModelFunction,0,0,,,0,4,,,0,2,
ModelFunctionJacobian,0,0,,,0,4,,,0,2,
MultiStartMultivariateVectorOptimizer,0,0,,,0,11,,,0,5,
MultiStartMultivariateVectorOptimizer.new Comparator() {...},4,2,,,2,10,,,3,3,
UnivariatePointValuePair,0,0,,,0,6,,,0,3,
SearchInterval,3,3,,,2,12,,,3,5,
BracketFinder,10,36,,,9,84,,,13,22,
MultiStartUnivariateOptimizer.new Comparator() {...},3,5,,,1,8,,,3,3,
UnivariateOptimizer,0,8,,,0,24,,,0,12,
MultiStartUnivariateOptimizer,2,18,,,2,49,,,2,14,
BrentOptimizer,5,69,,,6,116,,,5,37,
UnivariateObjectiveFunction,0,0,,,0,4,,,0,2,
SimpleUnivariateValueChecker,1,9,,,0,16,,,1,7,
ChebyshevDistance,0,0,,,0,2,,,0,2,
EarthMoversDistance,0,2,,,0,8,,,0,3,
EuclideanDistance,0,0,,,0,2,,,0,2,
ManhattanDistance,0,0,,,0,2,,,0,2,
CanberraDistance,0,6,,,0,7,,,0,5,
Transformer.new Transformer() {...},0,0,,,0,2,,,0,2,
Transformer.new Transformer() {...},0,0,,,0,2,,,0,2,
Transformer.new Transformer() {...},0,0,,,0,2,,,0,2,
Transformer.new Transformer() {...},0,0,,,0,2,,,0,2,
Transformer.new Transformer() {...},0,0,,,0,2,,,0,2,
Transformer,0,0,,,0,6,,,0,1,
FilterType,0,0,,,0,3,,,0,1,
EventFilter,2,20,,,4,42,,,3,13,
FilterType.new FilterType() {...},2,36,,,2,39,,,2,24,
FilterType.new FilterType() {...},2,36,,,2,39,,,2,24,
EventState,16,52,,,8,102,,,16,31,
EventState.new UnivariateFunction() {...},0,0,,,2,3,,,0,2,
EventHandler.Action,0,0,,,0,5,,,0,1,
EventState.LocalMaxCountExceededException,0,0,,,4,0,,,2,0,
