CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_covergae,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
TricubicSplineInterpolatingFunction,10,70,80,0.875,6,97,103,0.941747573,10,35,45
MicrosphereInterpolatingFunction.MicrosphereSurfaceElement,0,2,2,1,0,13,13,1,0,7,7
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,0,6,6,1,0,2,2
LoessInterpolator,4,48,52,0.923076923,6,110,116,0.948275862,6,30,36
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,5,1,6,0.166666667,1,1,2
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,5,1,6,0.166666667,1,1,2
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,0,7,7,1,0,2,2
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,0,7,7,1,0,2,2
BicubicSplineInterpolatingFunction,6,48,54,0.888888889,3,83,86,0.965116279,8,32,40
TricubicSplineFunction,6,18,24,0.75,3,25,28,0.892857143,6,8,14
SmoothingPolynomialBicubicSplineInterpolator,5,27,32,0.84375,5,45,50,0.9,6,14,20
FieldHermiteInterpolator,0,30,30,1,0,64,64,1,0,19,19
DividedDifferenceInterpolator,0,4,4,1,0,17,17,1,0,5,5
SplineInterpolator,0,12,12,1,0,38,38,1,0,8,8
HermiteInterpolator,0,28,28,1,0,62,62,1,0,21,21
TricubicSplineInterpolator,4,50,54,0.925925926,1,78,79,0.987341772,4,27,31
MicrosphereInterpolatingFunction,8,22,30,0.733333333,6,42,48,0.875,8,10,18
MicrosphereInterpolator,2,2,4,0.5,2,10,12,0.833333333,2,3,5
BicubicSplineInterpolator,3,31,34,0.911764706,1,44,45,0.977777778,3,18,21
NevilleInterpolator,0,0,0,100,0,2,2,1,0,2,2
LinearInterpolator,0,8,8,1,0,18,18,1,0,6,6
BicubicSplineFunction,9,21,30,0.7,6,50,56,0.892857143,9,15,24
UnivariatePeriodicInterpolator,0,6,6,1,0,28,28,1,0,6,6
NeuronString,4,18,22,0.818181818,5,40,45,0.888888889,6,13,19
NeuronString.SerializationProxy,0,0,0,100,0,5,5,1,0,2,2
SumOfClusterVariances,1,5,6,0.833333333,0,13,13,1,1,4,5
ClusterEvaluator,1,11,12,0.916666667,3,19,22,0.863636364,2,9,11
LegendreGaussIntegrator,1,12,13,0.923076923,4,68,72,0.944444444,2,12,14
SimpsonIntegrator,5,7,12,0.583333333,7,22,29,0.75862069,5,5,10
IterativeLegendreGaussIntegrator.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2
IterativeLegendreGaussIntegrator,1,7,8,0.875,1,34,35,0.971428571,1,9,10
RombergIntegrator,4,8,12,0.666666667,6,31,37,0.837837838,4,6,10
BaseAbstractUnivariateIntegrator,1,3,4,0.75,4,36,40,0.9,3,13,16
TrapezoidIntegrator,4,10,14,0.714285714,6,37,43,0.860465116,4,8,12
MidPointIntegrator,3,9,12,0.75,3,32,35,0.914285714,3,8,11
VectorFormat,1,15,16,0.9375,13,37,50,0.74,8,12,20
HarmonicFitter.ParameterGuesser,2,28,30,0.933333333,1,93,94,0.989361702,2,18,20
CurveFitter.OldTheoreticalValuesFunction,0,2,2,1,0,10,10,1,0,4,4
