CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
Vector1DFormat,1,3,4,0.75,4,19,23,83%,2,9,11
Euclidean1D.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
Vector1D,1,15,16,0.94,3,71,74,96%,2,41,43
Euclidean1D,0,0,0,100.00,0,4,4,100%,0,4,4
Euclidean1D.NoSubSpaceException,0,0,0,100.00,0,2,2,100%,0,1,1
IntervalsSet,15,77,92,0.84,19,125,144,87%,17,60,77
SubOrientedPoint,0,6,6,1.00,2,7,9,78%,2,7,9
IntervalsSet.SubIntervalsIterator,1,21,22,0.95,2,34,36,94%,2,14,16
Interval,0,8,8,1.00,4,13,17,76%,4,10,14
Relationship,0,3,3,1.00,1,11,12,92%,1,5,6
AbstractLinearOptimizer,1,1,2,0.50,1,19,20,95%,1,10,11
LinearConstraint,7,5,12,0.42,18,21,39,54%,9,8,17
SimplexSolver,0,54,54,1.00,0,82,82,100%,0,34,34
LinearObjectiveFunction,4,4,8,0.50,4,19,23,83%,6,8,14
UnboundedSolutionException,0,0,0,100.00,0,2,2,100%,0,1,1
SimplexTableau,11,117,128,0.91,10,178,188,95%,14,82,96
NoFeasibleSolutionException,0,0,0,100.00,0,2,2,100%,0,1,1
OpenIntToDoubleHashMap,0,68,68,1.00,0,157,157,100%,0,58,58
FastMath.CodyWaite,0,2,2,1.00,0,24,24,100%,0,5,5
DefaultTransformer,0,6,6,1.00,1,12,13,92%,1,6,7
FastMath.lnMant,0,0,0,100.00,0,2,2,100%,0,1,1
Combinations.LexicographicIterator,3,15,18,0.83,4,38,42,90%,4,9,13
Decimal64,2,12,14,0.86,11,86,97,89%,11,67,78
ResizableDoubleArray,11,78,89,0.88,18,213,231,92%,18,76,94
FastMath,56,800,856,0.93,38,1484,1522,98%,48,472,520
BigReal,0,4,4,1.00,6,76,82,93%,4,33,37
Decimal64Field,0,0,0,100.00,0,5,5,100%,0,5,5
MultidimensionalCounter.Iterator,1,7,8,0.88,3,16,19,84%,4,7,11
MedianOf3PivotingStrategy,0,10,10,1.00,0,14,14,100%,0,7,7
MathUtils,22,40,62,0.65,4,36,40,90%,16,28,44
Precision,33,98,131,0.75,3,116,119,97%,24,67,91
IterationEvent,0,0,0,100.00,0,4,4,100%,0,2,2
Combinations,1,5,6,0.83,1,15,16,94%,1,8,9
KthSelector,1,37,38,0.97,0,47,47,100%,1,23,24
FastMath.ExpIntTable,0,0,0,100.00,0,3,3,100%,0,1,1
CombinatoricsUtils,2,96,98,0.98,1,121,122,99%,2,57,59
FastMathCalc,62,0,62,0.00,275,0,275,0%,48,0,48
MathArrays,62,225,287,0.78,68,414,482,86%,42,155,197
MathArrays.new Comparator() {...},0,0,0,100.00,0,2,2,100%,0,2,2
MathArrays.new Comparator() {...},0,0,0,100.00,0,2,2,100%,0,2,2
OpenIntToDoubleHashMap.Iterator,4,12,16,0.75,4,24,28,86%,4,9,13
CompositeFormat,1,27,28,0.96,0,56,56,100%,1,21,22
OpenIntToFieldHashMap.Iterator,4,12,16,0.75,5,23,28,82%,4,9,13
FastMathLiteralArrays,0,0,0,100.00,0,10,10,100%,0,6,6
Incrementor.new Incrementor.MaxCountExceededCallback() {...},0,0,0,100.00,0,2,2,100%,0,2,2
MultidimensionalCounter,2,22,24,0.92,4,45,49,92%,2,18,20
Combinations.LexicographicComparator,0,14,14,1.00,0,26,26,100%,0,10,10
Combinations.IterationOrder,0,0,0,100.00,0,2,2,100%,0,1,1
Combinations.SingletonIterator,1,1,2,0.50,2,8,10,80%,2,3,5
ResizableDoubleArray.ExpansionMode,0,0,0,100.00,0,3,3,100%,0,1,1
ContinuedFraction,7,9,16,0.56,11,31,42,74%,9,4,13
Incrementor,1,7,8,0.88,2,22,24,92%,1,13,14
MathArrays.OrderDirection,0,0,0,100.00,0,3,3,100%,0,1,1
ArithmeticUtils,10,140,150,0.93,20,200,220,91%,15,87,102
FastMath.ExpFracTable,0,0,0,100.00,0,3,3,100%,0,1,1
RandomPivotingStrategy,0,0,0,100.00,2,3,5,60%,1,1,2
IterationManager,0,8,8,1.00,7,27,34,79%,3,13,16
MathArrays.Position,0,0,0,100.00,0,3,3,100%,0,1,1
BigRealField,0,0,0,100.00,1,4,5,80%,1,4,5
OpenIntToFieldHashMap,0,68,68,1.00,5,155,160,97%,2,57,59
TransformerMap,8,12,20,0.60,10,31,41,76%,8,14,22
Pair,5,15,20,0.75,3,21,24,88%,6,14,20
CentralPivotingStrategy,0,0,0,100.00,2,1,3,33%,1,1,2
BigRealField.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
DummyLocalizable,0,0,0,100.00,6,0,6,0%,4,0,4
ArgUtils,1,7,8,0.88,0,8,8,100%,1,4,5
LocalizedFormats,1,1,2,0.50,1,338,339,100%,1,4,5
ExceptionContext,0,20,20,1.00,1,79,80,99%,1,27,28
FuzzyKMeansClusterer,14,42,56,0.75,21,104,125,83%,13,33,46
MultiKMeansPlusPlusClusterer,0,4,4,1.00,3,16,19,84%,3,5,8
KMeansPlusPlusClusterer.EmptyClusterStrategy,0,0,0,100.00,0,5,5,100%,0,1,1
DoublePoint,1,3,4,0.75,2,12,14,86%,2,6,8
CentroidCluster,0,0,0,100.00,0,4,4,100%,0,2,2
DBSCANClusterer.PointStatus,0,0,0,100.00,0,3,3,100%,0,1,1
Clusterer,0,0,0,100.00,0,5,5,100%,0,3,3
DBSCANClusterer,0,28,28,1.00,0,55,55,100%,0,22,22
Cluster,0,0,0,100.00,0,6,6,100%,0,3,3
KMeansPlusPlusClusterer,38,50,88,0.57,65,104,169,62%,31,31,62
LegendreHighPrecisionRuleFactory,0,24,24,1.00,0,98,98,100%,0,15,15
SymmetricGaussIntegrator,0,6,6,1.00,0,25,25,100%,0,6,6
HermiteRuleFactory,0,24,24,1.00,0,69,69,100%,0,14,14
BaseRuleFactory,2,8,10,0.80,4,28,32,88%,2,8,10
GaussIntegratorFactory,0,2,2,1.00,0,18,18,100%,0,9,9
LegendreRuleFactory,0,24,24,1.00,0,61,61,100%,0,14,14
GaussIntegrator,1,3,4,0.75,1,21,22,95%,1,7,8
Kurtosis,3,13,16,0.81,3,49,52,94%,4,14,18
FourthMoment,0,2,2,1.00,3,26,29,90%,1,7,8
StandardDeviation,0,0,0,100.00,9,28,37,76%,5,12,17
VectorialCovariance,9,19,28,0.68,13,39,52,75%,9,12,21
ThirdMoment,0,2,2,1.00,0,29,29,100%,0,8,8
SemiVariance.Direction,0,0,0,100.00,0,7,7,100%,0,3,3
FirstMoment,0,2,2,1.00,3,32,35,91%,1,8,9
SecondMoment,0,2,2,1.00,3,20,23,87%,1,7,8
GeometricMean,1,3,4,0.75,6,29,35,83%,3,12,15
VectorialMean,4,12,16,0.75,7,20,27,74%,5,9,14
Mean,3,9,12,0.75,4,43,47,91%,4,14,18
SemiVariance,0,12,12,1.00,23,32,55,58%,9,14,23
Skewness,2,14,16,0.88,3,52,55,95%,3,15,18
Variance,14,32,46,0.70,10,101,111,91%,17,27,44
Atan,0,0,0,100.00,2,2,4,50%,2,2,4
Atanh,0,0,0,100.00,4,0,4,0%,4,0,4
Cosh,0,0,0,100.00,1,3,4,75%,1,3,4
Atan2,0,0,0,100.00,2,0,2,0%,2,0,2
Divide,0,0,0,100.00,0,2,2,100%,0,2,2
Tan,0,0,0,100.00,2,2,4,50%,2,2,4
Floor,0,0,0,100.00,0,2,2,100%,0,2,2
Expm1,0,0,0,100.00,2,2,4,50%,2,2,4
Logit.Parametric,0,4,4,1.00,4,8,12,67%,1,5,6
Abs,0,0,0,100.00,0,2,2,100%,0,2,2
Constant,0,0,0,100.00,1,5,6,83%,1,3,4
Ceil,0,0,0,100.00,0,2,2,100%,0,2,2
Add,0,0,0,100.00,0,2,2,100%,0,2,2
Logit,0,16,16,1.00,3,27,30,90%,2,12,14
Logistic,0,2,2,1.00,1,13,14,93%,1,5,6
Acos,0,0,0,100.00,2,2,4,50%,2,2,4
Sigmoid.Parametric,0,4,4,1.00,0,11,11,100%,0,6,6
Max,0,0,0,100.00,0,2,2,100%,0,2,2
Rint,0,0,0,100.00,0,2,2,100%,0,2,2
Asinh,0,0,0,100.00,4,0,4,0%,4,0,4
HarmonicOscillator,0,4,4,1.00,1,17,18,94%,1,6,7
Acosh,0,0,0,100.00,4,0,4,0%,4,0,4
Gaussian,0,14,14,1.00,1,37,38,97%,1,13,14
StepFunction,0,14,14,1.00,0,19,19,100%,0,9,9
Min,0,0,0,100.00,0,2,2,100%,0,2,2
Sigmoid,0,8,8,1.00,1,28,29,97%,1,9,10
HarmonicOscillator.Parametric,0,4,4,1.00,0,17,17,100%,0,6,6
Power,0,0,0,100.00,1,5,6,83%,1,3,4
Identity,0,0,0,100.00,1,3,4,75%,1,3,4
Signum,0,0,0,100.00,0,2,2,100%,0,2,2
Multiply,0,0,0,100.00,0,2,2,100%,0,2,2
Minus,0,0,0,100.00,1,3,4,75%,1,3,4
Sin,0,0,0,100.00,0,4,4,100%,0,4,4
Log10,0,0,0,100.00,2,2,4,50%,2,2,4
Asin,0,0,0,100.00,2,2,4,50%,2,2,4
Logistic.Parametric,0,6,6,1.00,2,25,27,93%,1,6,7
Sqrt,0,0,0,100.00,1,3,4,75%,1,3,4
Ulp,0,0,0,100.00,0,2,2,100%,0,2,2
Tanh,0,0,0,100.00,2,2,4,50%,2,2,4
Log1p,0,0,0,100.00,2,2,4,50%,2,2,4
Subtract,0,0,0,100.00,2,0,2,0%,2,0,2
Exp,0,0,0,100.00,2,2,4,50%,2,2,4
Gaussian.Parametric,0,6,6,1.00,0,21,21,100%,0,7,7
Cos,0,0,0,100.00,1,3,4,75%,1,3,4
Log,0,0,0,100.00,1,3,4,75%,1,3,4
Sinc,2,24,26,0.92,1,50,51,98%,3,15,18
Sinh,0,0,0,100.00,2,2,4,50%,2,2,4
Pow,0,0,0,100.00,0,2,2,100%,0,2,2
Inverse,0,0,0,100.00,1,3,4,75%,1,3,4
Cbrt,0,0,0,100.00,2,2,4,50%,2,2,4
PSquarePercentile.Markers,0,38,38,1.00,0,90,90,100%,0,35,35
Percentile,3,42,45,0.93,10,106,116,91%,4,47,51
PSquarePercentile.FixedCapacityList,3,5,8,0.63,0,7,7,100%,3,4,7
PSquarePercentile,0,48,48,1.00,0,77,77,100%,0,39,39
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,2,2,1.00,0,4,4,100%,0,3,3
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,10,10,100%,0,5,5
Percentile.EstimationType.new Percentile.EstimationType() {...},0,2,2,1.00,0,4,4,100%,0,4,4
Median,0,0,0,100.00,3,6,9,67%,2,4,6
Percentile.EstimationType,0,8,8,1.00,0,31,31,100%,0,10,10
PSquarePercentile.Marker,7,43,50,0.86,1,71,72,99%,7,33,40
Min,0,12,12,1.00,3,29,32,91%,1,14,15
Max,0,12,12,1.00,3,29,32,91%,1,14,15
DfpField,8,38,46,0.83,12,155,167,93%,19,44,63
Dfp,81,697,778,0.90,82,1016,1098,93%,83,426,509
DfpDec,12,100,112,0.89,25,109,134,81%,22,56,78
DfpField.RoundingMode,0,0,0,100.00,0,9,9,100%,0,1,1
DfpMath,40,154,194,0.79,34,341,375,91%,29,88,117
BracketingNthOrderBrentSolverDFP,7,59,66,0.89,13,116,129,90%,9,36,45
EvaluationRmsChecker,0,4,4,1.00,2,8,10,80%,1,4,5
LevenbergMarquardtOptimizer.InternalData,0,0,0,100.00,0,8,8,100%,0,1,1
OptimumImpl,0,0,0,100.00,2,12,14,86%,2,8,10
LeastSquaresAdapter,0,0,0,100.00,0,10,10,100%,0,8,8
DenseWeightedEvaluation,0,0,0,100.00,0,7,7,100%,0,4,4
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100.00,0,4,4,100%,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100.00,0,10,10,100%,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100.00,0,6,6,100%,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100.00,0,10,10,100%,0,2,2
LevenbergMarquardtOptimizer,16,186,202,0.92,17,361,378,96%,20,99,119
LeastSquaresFactory.LocalValueAndJacobianFunction,0,0,0,100.00,0,9,9,100%,0,4,4
LeastSquaresBuilder,0,0,0,100.00,2,22,24,92%,1,14,15
GaussNewtonOptimizer,1,17,18,0.94,6,41,47,87%,5,11,16
AbstractEvaluation,0,2,2,1.00,0,18,18,100%,0,6,6
LeastSquaresFactory.LocalLeastSquaresProblem.UnweightedEvaluation,0,0,0,100.00,0,8,8,100%,0,4,4
LeastSquaresFactory.LocalLeastSquaresProblem.LazyUnweightedEvaluation,0,0,0,100.00,3,5,8,63%,3,1,4
LeastSquaresFactory.new LeastSquaresAdapter() {...},0,0,0,100.00,3,0,3,0%,2,0,2
LeastSquaresFactory.new ConvergenceChecker() {...},0,0,0,100.00,0,6,6,100%,0,2,2
LeastSquaresFactory,0,6,6,1.00,5,16,21,76%,5,8,13
LeastSquaresFactory.new LeastSquaresAdapter() {...},0,0,0,100.00,0,2,2,100%,0,2,2
GaussNewtonOptimizer.Decomposition,0,0,0,100.00,0,5,5,100%,0,1,1
LeastSquaresFactory.LocalLeastSquaresProblem,1,9,10,0.90,0,21,21,100%,1,9,10
MultistepIntegrator.InitializationCompletedMarkerException,0,0,0,100.00,0,2,2,100%,0,1,1
ExpandableStatefulODE.SecondaryComponent,0,0,0,100.00,0,7,7,100%,0,1,1
ExpandableStatefulODE,4,14,18,0.78,7,58,65,89%,6,20,26
JacobianMatrices,9,25,34,0.74,9,68,77,88%,9,19,28
UnknownParameterException,0,0,0,100.00,4,0,4,0%,2,0,2
MultistepIntegrator.NordsieckInitializer,2,8,10,0.80,6,36,42,86%,2,6,8
AbstractIntegrator,2,60,62,0.97,4,135,139,97%,4,51,55
JacobianMatrices.MismatchedEquations,0,0,0,100.00,2,0,2,0%,1,0,1
ContinuousOutputModel,3,45,48,0.94,3,110,113,97%,5,32,37
FirstOrderConverter,0,0,0,100.00,0,14,14,100%,0,3,3
ParameterConfiguration,0,0,0,100.00,0,8,8,100%,0,4,4
AbstractParameterizable,2,6,8,0.75,7,11,18,61%,4,5,9
ParameterizedWrapper,2,0,2,0.00,12,0,12,0%,8,0,8
MultistepIntegrator,2,2,4,0.50,11,32,43,74%,7,7,14
AbstractIntegrator.new Comparator() {...},0,0,0,100.00,0,2,2,100%,0,2,2
JacobianMatrices.JacobiansSecondaryEquations,5,21,26,0.81,1,39,40,98%,5,11,16
MultistepIntegrator.new FirstOrderDifferentialEquations() {...},0,0,0,100.00,4,0,4,0%,3,0,3
JacobianMatrices.MainStateJacobianWrapper,1,5,6,0.83,1,18,19,95%,1,6,7
EquationsMapper,2,2,4,0.50,2,12,14,86%,2,5,7
ParameterJacobianWrapper,2,6,8,0.75,2,22,24,92%,3,5,8
FastFourierTransformer.MultiDimensionalComplexMatrix,8,22,30,0.73,8,53,61,87%,6,16,22
FastFourierTransformer,9,54,63,0.86,4,169,173,98%,9,33,42
TransformUtils,4,10,14,0.71,7,24,31,77%,4,9,13
FastCosineTransformer,0,14,14,1.00,0,44,44,100%,0,11,11
DstNormalization,0,0,0,100.00,0,3,3,100%,0,1,1
TransformType,0,0,0,100.00,0,3,3,100%,0,1,1
DctNormalization,0,0,0,100.00,0,3,3,100%,0,1,1
DftNormalization,0,0,0,100.00,0,3,3,100%,0,1,1
FastHadamardTransformer,1,17,18,0.94,3,39,42,93%,2,13,15
FastSineTransformer,0,14,14,1.00,0,40,40,100%,0,11,11
UnivariatePeriodicInterpolator.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
TricubicSplineInterpolatingFunction,10,70,80,0.88,6,97,103,94%,10,35,45
MicrosphereInterpolatingFunction.MicrosphereSurfaceElement,0,2,2,1.00,0,13,13,100%,0,7,7
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100.00,0,6,6,100%,0,2,2
LoessInterpolator,4,48,52,0.92,6,110,116,95%,6,30,36
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100.00,5,1,6,17%,1,1,2
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100.00,5,1,6,17%,1,1,2
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100.00,0,7,7,100%,0,2,2
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100.00,0,7,7,100%,0,2,2
BicubicSplineInterpolatingFunction,6,48,54,0.89,3,81,84,96%,8,32,40
TricubicSplineFunction,6,18,24,0.75,3,25,28,89%,6,8,14
SmoothingPolynomialBicubicSplineInterpolator,5,27,32,0.84,5,45,50,90%,6,14,20
FieldHermiteInterpolator,0,30,30,1.00,0,64,64,100%,0,19,19
BicubicInterpolator.new BicubicInterpolatingFunction() {...},0,8,8,1.00,0,4,4,100%,0,6,6
TricubicFunction,6,18,24,0.75,3,25,28,89%,6,8,14
PiecewiseBicubicSplineInterpolator,4,10,14,0.71,1,7,8,88%,4,5,9
AkimaSplineInterpolator,3,23,26,0.88,4,63,67,94%,3,14,17
DividedDifferenceInterpolator,0,4,4,1.00,0,17,17,100%,0,5,5
SplineInterpolator,0,12,12,1.00,0,38,38,100%,0,8,8
HermiteInterpolator,0,28,28,1.00,0,62,62,100%,0,21,21
TricubicSplineInterpolator,4,50,54,0.93,1,78,79,99%,4,27,31
BicubicInterpolator,3,9,12,0.75,1,28,29,97%,3,5,8
MicrosphereInterpolatingFunction,8,22,30,0.73,6,42,48,88%,8,10,18
MicrosphereInterpolator,2,2,4,0.50,2,10,12,83%,2,3,5
TricubicInterpolatingFunction,22,70,92,0.76,9,104,113,92%,17,35,52
BicubicSplineInterpolator,3,31,34,0.91,1,48,49,98%,3,19,22
NevilleInterpolator,0,0,0,100.00,0,2,2,100%,0,2,2
TricubicInterpolator.new TricubicInterpolatingFunction() {...},12,0,12,0.00,3,1,4,25%,7,1,8
BicubicInterpolatingFunction,6,42,48,0.88,1,63,64,98%,6,24,30
LinearInterpolator,0,8,8,1.00,0,18,18,100%,0,6,6
PiecewiseBicubicSplineInterpolatingFunction,16,36,52,0.69,5,48,53,91%,13,17,30
BicubicFunction,4,10,14,0.71,2,21,23,91%,4,6,10
BicubicSplineFunction,4,18,22,0.82,4,50,54,93%,5,15,20
TricubicInterpolator,4,16,20,0.80,1,51,52,98%,4,8,12
UnivariatePeriodicInterpolator,0,6,6,1.00,0,28,28,100%,0,6,6
NeuronString,4,18,22,0.82,5,40,45,89%,6,13,19
NeuronString.SerializationProxy,0,0,0,100.00,0,5,5,100%,0,2,2
SumOfClusterVariances,1,5,6,0.83,0,13,13,100%,1,4,5
ClusterEvaluator,1,11,12,0.92,3,19,22,86%,2,9,11
LegendreGaussIntegrator,1,12,13,0.92,4,68,72,94%,2,12,14
SimpsonIntegrator,5,7,12,0.58,7,22,29,76%,5,5,10
IterativeLegendreGaussIntegrator.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
IterativeLegendreGaussIntegrator,1,7,8,0.88,1,34,35,97%,1,9,10
RombergIntegrator,4,8,12,0.67,6,31,37,84%,4,6,10
BaseAbstractUnivariateIntegrator,1,3,4,0.75,4,36,40,90%,3,13,16
TrapezoidIntegrator,4,10,14,0.71,6,37,43,86%,4,8,12
MidPointIntegrator,3,9,12,0.75,3,32,35,91%,3,8,11
VectorFormat,1,15,16,0.94,13,37,50,74%,8,12,20
HarmonicFitter.ParameterGuesser,2,28,30,0.93,1,93,94,99%,2,18,20
CurveFitter.OldTheoreticalValuesFunction,0,2,2,1.00,0,10,10,100%,0,4,4
PolynomialFitter,0,0,0,100.00,5,4,9,44%,3,2,5
GaussianFitter.ParameterGuesser.new Comparator() {...},15,5,20,0.25,13,7,20,35%,10,2,12
CurveFitter.OldTheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,2,1.00,0,7,7,100%,0,3,3
WeightedObservedPoint,0,0,0,100.00,0,8,8,100%,0,4,4
CurveFitter,1,3,4,0.75,10,22,32,69%,4,7,11
GaussianFitter.ParameterGuesser,6,28,34,0.82,5,55,60,92%,6,19,25
CurveFitter.TheoreticalValuesFunction,8,0,8,0.00,21,0,21,0%,7,0,7
GaussianFitter,0,0,0,100.00,0,6,6,100%,0,3,3
GaussianFitter.new Gaussian.Parametric() {...},0,0,0,100.00,1,10,11,91%,0,3,3
HarmonicFitter,0,0,0,100.00,0,4,4,100%,0,3,3
UnboundedSolutionException,0,0,0,100.00,0,2,2,100%,0,1,1
LinearConstraint,6,6,12,0.50,15,24,39,62%,7,10,17
NonNegativeConstraint,0,0,0,100.00,0,4,4,100%,0,2,2
PivotSelectionRule,0,0,0,100.00,0,3,3,100%,0,1,1
Relationship,0,3,3,1.00,1,11,12,92%,1,5,6
LinearObjectiveFunction,4,4,8,0.50,3,20,23,87%,5,9,14
SimplexSolver,3,61,64,0.95,6,101,107,94%,5,39,44
LinearOptimizer,0,8,8,1.00,0,18,18,100%,0,10,10
LinearConstraintSet,2,0,2,0.00,4,5,9,56%,2,2,4
NoFeasibleSolutionException,0,0,0,100.00,0,2,2,100%,0,1,1
SimplexTableau,11,127,138,0.92,10,205,215,95%,14,92,106
SolutionCallback,0,4,4,1.00,0,5,5,100%,0,6,6
AdamsMoultonIntegrator,2,30,32,0.94,4,76,80,95%,2,17,19
AdamsMoultonIntegrator.Corrector,2,6,8,0.75,0,21,21,100%,2,6,8
RungeKuttaStepInterpolator,7,23,30,0.77,2,49,51,96%,7,14,21
ClassicalRungeKuttaIntegrator,0,0,0,100.00,0,5,5,100%,0,2,2
HighamHall54Integrator,0,6,6,1.00,0,19,19,100%,0,8,8
DormandPrince853StepInterpolator,5,43,48,0.90,4,116,120,97%,5,29,34
AdamsNordsieckTransformer,0,20,20,1.00,1,68,69,99%,1,17,18
ClassicalRungeKuttaStepInterpolator,1,7,8,0.88,0,35,35,100%,1,7,8
RungeKuttaIntegrator,1,43,44,0.98,1,82,83,99%,1,24,25
ThreeEighthesStepInterpolator,1,7,8,0.88,0,38,38,100%,1,7,8
ThreeEighthesIntegrator,0,0,0,100.00,0,5,5,100%,0,2,2
AdaptiveStepsizeIntegrator,6,40,46,0.87,2,84,86,98%,5,30,35
EmbeddedRungeKuttaIntegrator,0,54,54,1.00,0,112,112,100%,0,36,36
LutherStepInterpolator,1,7,8,0.88,0,50,50,100%,1,8,9
EulerIntegrator,0,0,0,100.00,0,5,5,100%,0,2,2
GillIntegrator,0,0,0,100.00,0,8,8,100%,0,2,2
DormandPrince853Integrator,0,6,6,1.00,0,43,43,100%,0,8,8
LutherIntegrator,0,0,0,100.00,0,6,6,100%,0,2,2
GraggBulirschStoerStepInterpolator,15,43,58,0.74,9,127,136,93%,14,25,39
HighamHall54StepInterpolator,1,7,8,0.88,0,41,41,100%,1,7,8
MidpointIntegrator,0,0,0,100.00,0,5,5,100%,0,2,2
DormandPrince54Integrator,0,4,4,1.00,0,16,16,100%,0,7,7
AdamsIntegrator,0,0,0,100.00,0,10,10,100%,0,5,5
GraggBulirschStoerIntegrator,22,212,234,0.91,7,305,312,98%,22,109,131
MidpointStepInterpolator,1,7,8,0.88,0,24,24,100%,1,7,8
AdamsBashforthIntegrator,3,31,34,0.91,4,74,78,95%,3,17,20
DormandPrince54StepInterpolator,1,15,16,0.94,0,62,62,100%,1,13,14
EulerStepInterpolator,1,7,8,0.88,0,13,13,100%,1,7,8
GillStepInterpolator,1,7,8,0.88,0,43,43,100%,1,8,9
RealLinearOperator,0,0,0,100.00,2,1,3,33%,2,1,3
FieldLUDecomposition.Solver,2,52,54,0.96,2,80,82,98%,2,31,33
DefaultIterativeLinearSolverEvent,3,1,4,0.25,2,17,19,89%,3,6,9
BlockRealMatrix,14,264,278,0.95,38,690,728,95%,11,182,193
SymmLQ,2,8,10,0.80,13,48,61,79%,7,10,17
LUDecomposition.Solver,0,38,38,1.00,0,55,55,100%,0,24,24
RRQRDecomposition,2,18,20,0.90,1,47,48,98%,2,15,17
RRQRDecomposition.Solver,0,0,0,100.00,1,7,8,88%,1,4,5
DefaultFieldMatrixPreservingVisitor,0,0,0,100.00,1,5,6,83%,1,3,4
RectangularCholeskyDecomposition,2,26,28,0.93,2,54,56,96%,2,16,18
LUDecomposition,0,54,54,1.00,0,85,85,100%,0,35,35
SymmLQ.State,9,51,60,0.85,7,171,178,96%,9,35,44
Array2DRowRealMatrix,7,89,96,0.93,5,188,193,97%,7,72,79
SingularValueDecomposition.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100.00,0,3,3,100%,0,2,2
EigenDecomposition.Solver,2,36,38,0.95,2,63,65,97%,2,23,25
SparseRealVector,0,0,0,100.00,0,1,1,100%,0,1,1
SparseFieldVector,36,76,112,0.68,72,207,279,74%,38,71,109
NonSymmetricMatrixException,0,0,0,100.00,3,5,8,63%,3,1,4
NonSquareOperatorException,0,0,0,100.00,0,2,2,100%,0,1,1
CholeskyDecomposition.Solver,0,28,28,1.00,2,46,48,96%,2,17,19
OpenMapRealVector.OpenMapEntry,0,0,0,100.00,2,5,7,71%,1,3,4
MatrixUtils.BigFractionMatrixConverter,0,0,0,100.00,0,7,7,100%,0,4,4
RealVector.Entry,0,0,0,100.00,0,9,9,100%,0,5,5
BiDiagonalTransformer,7,103,110,0.94,3,155,158,98%,10,55,65
DefaultRealMatrixChangingVisitor,0,0,0,100.00,1,3,4,75%,1,3,4
DiagonalMatrix,1,37,38,0.97,1,84,85,99%,1,42,43
SingularValueDecomposition,13,171,184,0.93,4,271,275,99%,14,92,106
DefaultFieldMatrixChangingVisitor,0,0,0,100.00,1,5,6,83%,1,3,4
AbstractFieldMatrix.new DefaultFieldMatrixPreservingVisitor() {...},0,0,0,100.00,0,3,3,100%,0,2,2
AbstractFieldMatrix.new DefaultFieldMatrixPreservingVisitor() {...},0,0,0,100.00,0,6,6,100%,0,3,3
AbstractFieldMatrix.new DefaultFieldMatrixChangingVisitor() {...},0,0,0,100.00,0,2,2,100%,0,2,2
IllConditionedOperatorException,0,0,0,100.00,2,0,2,0%,1,0,1
SingularMatrixException,0,0,0,100.00,0,2,2,100%,0,1,1
CholeskyDecomposition,0,22,22,1.00,0,45,45,100%,0,17,17
SparseFieldMatrix,8,2,10,0.20,29,24,53,45%,8,10,18
AbstractRealMatrix.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100.00,0,3,3,100%,0,2,2
AbstractRealMatrix.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100.00,0,6,6,100%,0,3,3
AbstractRealMatrix.new DefaultRealMatrixChangingVisitor() {...},0,0,0,100.00,0,2,2,100%,0,2,2
SingularValueDecomposition.Solver,0,6,6,1.00,0,16,16,100%,0,8,8
